w_MO,w_MDF,w_MSCM,f1_RMSE,f2_DIR,f3_Lip95
0.7895866203287759,0.1952593888193589,0.0151539908518651,117.80937446259296,0.0253190765715711,56175.2408778221
0.8336911133280182,0.1623274966652937,0.003981390006688,117.95824710247156,0.0210085935729462,56179.09437529764
0.8256271352702182,0.1266637710075671,0.0477090937222147,118.10356543401502,0.018717637678506,56344.685706190445
0.7209375788672442,0.2790402164408539,2.2204691901797283e-05,117.4809244694882,0.0343778092076318,55667.11663533771
0.8321200418338385,0.1099143077596718,0.0579656504064897,118.1812252523402,0.0171983142468321,56425.01070580956
0.6035520770848951,0.3286930090707501,0.0677549138443547,117.30915430853824,0.0429904740479173,55282.36816339261
0.8400474933275041,0.1599525066724959,0.0,117.97167916721864,0.0205615376589934,56207.63417115497
0.6217554864587173,0.2615152226053838,0.1167292909358989,117.59963784340285,0.0373422206287991,55540.698959644185
0.6311741992166138,0.3282874374744344,0.0405383633089517,117.29715486161592,0.0417814947227033,55329.46474292914
0.8336486408438332,0.1663513591561667,0.0,117.94330135299526,0.0213072503077661,56167.832595537744
0.8509757543776564,0.1376327631479372,0.0113914824744062,118.06444487488002,0.0184446648423062,56462.323803038926
0.7373501280054492,0.1970821274437146,0.0655677445508361,117.80210784410592,0.0276871359122734,55947.51102420478
0.7238721616432012,0.2738560607730843,0.0022717775837145,117.49943511572484,0.0338751986178076,55788.73568941133
0.643171313041935,0.3568286869580651,0.0,117.20333000371268,0.0433297527166521,55436.21439358285
0.6175683700333975,0.2624038963476123,0.1200277336189901,117.60128664251071,0.0375860771965236,55517.64305561177
0.6976708449770992,0.2164205735969565,0.0859085814259442,117.736779108304,0.0308025450591811,55885.79170249303
0.9232371557197846,0.075616918709033,0.0011459255711823,118.3658189846078,0.0107460378697251,56867.79859210416
0.6947579710621897,0.2189402460793941,0.0863017828584161,117.72710006662724,0.0311115979864481,55826.01778976849
0.6520763587605933,0.3479236412394067,0.0,117.23337919727716,0.0423076813782937,55415.772819581056
0.7274356399363963,0.268613954633589,0.0039504054300147,117.518644217191,0.0333412805966953,55861.91390730006
0.9324734553982914,0.0670879991723962,0.0004385454293123,118.4085934421758,0.0097143887821191,56960.38468056549
0.719735574858059,0.2662598659898184,0.0140045591521227,117.52356339883916,0.0334986023332879,55804.4553090878
0.6740285813555164,0.323728650503176,0.0022427681413075,117.3162913908188,0.0396227089835875,55475.100129837854
0.8026952686278045,0.1923858134781312,0.0049189178940643,117.8269465367076,0.0245475279302198,56101.70627701788
0.8980781703319773,0.076725118897618,0.0251967107704046,118.34396947239216,0.0119058265239631,56763.80519871507
0.9311000500613998,0.0683445752103484,0.0005553747282518,118.40225290873036,0.0098669666823439,56882.61898201536
0.9480834981946772,0.0519165018053228,0.0,118.48495447400384,0.0079126288882014,57065.11372006347
0.6986949169158312,0.2337611072749209,0.0675439758092479,117.65557625591616,0.0320267970843646,55745.51448788605
0.8732584835390494,0.1267415164609505,0.0,118.122609034443,0.0166849671695303,56491.88887481055
0.5934078846309355,0.3711490074150217,0.0354431079540427,117.15361292744504,0.0464835553834162,55107.44198549123
0.8302915509719628,0.1679991478262465,0.0017093012017904,117.9347808906452,0.0215722964422063,56131.60721330562
0.835773773761591,0.1166066682713462,0.0476195579670628,118.1496087501004,0.0175380855443785,56434.88191125423
0.7956501306170198,0.2023556943529306,0.0019941750300495,117.786541433098,0.0255811732015925,56132.88241565156
0.9215483925409552,0.0558285016556818,0.0226231058033627,118.44823997535887,0.0093414147084508,56940.61203298113
0.5755738753542488,0.3766577828242624,0.0477683418214888,117.14051718052076,0.0476405281687181,55074.31115912173
0.7134408099631512,0.2865591900368487,0.0,117.45261549126047,0.035244688932321,55597.5115526064
0.6202632864460518,0.3797367135539483,0.0,117.12809125633017,0.0459556531316193,55264.38548337303
0.6232789548906275,0.3497231083969068,0.0269979367124657,117.22243327586988,0.0436660293917852,55386.85982359386
0.5990670302928802,0.3408974630826892,0.0600355066244305,117.26299970511728,0.0440630539354884,55295.44969895678
0.8237176412441879,0.0807477066824681,0.0955346520733439,118.33444145832868,0.0153919780339576,56558.86783452402
0.6419387774254588,0.3580612225745413,0.0,117.1992062679929,0.0434711586931357,55439.04368484199
0.7010948221926924,0.2923580332097053,0.0065471445976023,117.42795962505126,0.0361930871844518,55649.7029867326
0.8953484336315137,0.0875625554014384,0.0170890109670478,118.29580306473107,0.0128298368680218,56715.14819838828
0.6337542564770113,0.3662457435229888,0.0,117.17204110806252,0.0444097951171312,55453.73558745317
0.940867075935921,0.0444367229737741,0.0146962010903049,118.5105102648652,0.0076621842219175,56978.531096723054
0.9603070230494898,0.0396929769505101,0.0,118.54706836233686,0.0064744943812466,57138.751754582096
0.6837075234364483,0.21706952334621,0.0992229532173417,117.74689481477348,0.0314477215528787,55802.20468646332
0.8957349564363777,0.1042650435636222,0.0,118.22821473370864,0.0140554637956825,56586.20454129959
0.8980539903255594,0.0940131744378261,0.0079328352366144,118.27087959114856,0.0131940165046214,56670.902257912814
0.8932944915691433,0.105361820927579,0.0013436875032776,118.22185867408358,0.0142413797559181,56605.8985031914
0.8073003519536759,0.0675646037921583,0.1251350442541657,118.42617108568864,0.0151151861317732,56555.27332772719
0.8656198169163298,0.1343801830836702,0.0,118.08735397110534,0.0175775181617529,56511.31402242831
0.9529770648436726,0.0437255785545013,0.003297356601826,118.52338519182824,0.0070903032981243,57058.57963978247
0.6783855252687431,0.3216144747312569,0.0,117.32477395207307,0.0392837877116121,55569.595327775365
0.6430445791785798,0.3453191301595809,0.0116362906618391,117.23851147258628,0.0425049799770052,55375.59251499121
0.6997343700990917,0.2968894097555159,0.0033762201453923,117.41259541227568,0.0365802298805946,55637.838329534025
0.6141030730812593,0.3855312292282811,0.0003656976904595,117.10940435165298,0.0466346915883096,55244.21385311912
0.7333308303645797,0.264961795009574,0.0017073746258461,117.53387045672456,0.0328234409714089,55847.31717476723
